"locator_domain","page_url","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation"
"cb2.com","https://www.cb2.com/stores/scottsdale-quarter/str71","Scottsdale Quarter","15059 N Scottsdale Road","Scottsdale","AZ","85254","USA","71","(480) 681-0230","Store","33.6232799","-111.923092","Mo-Sa 10:00-21:00, Su 11:00-19:00"
"cb2.com","https://www.cb2.com/stores/union-square/str53","Union Square","34 Ellis St","San Francisco","CA","94102","USA","53","(415) 834-9370","Store","37.785648","-122.406808","Mo-Sa 10:00-19:00, Su 11:00-18:00"
"cb2.com","https://www.cb2.com/stores/berkeley/str55","Berkeley","1730 4th St","Berkeley","CA","94710","USA","55","(510) 558-0106","Store","37.871371","-122.301344","Mo-Sa 10:00-20:00, Su 11:00-19:00"
"cb2.com","https://www.cb2.com/stores/west-hollywood/str52","West Hollywood","8000 Sunset Blvd","Los Angeles","CA","90046","USA","52","(323) 848-7111","Store","34.097908","-118.364611","Mo-Sa 10:00-20:00, Su 12:00-18:00"
"cb2.com","https://www.cb2.com/stores/south-coast-plaza/str69","South Coast Plaza","3333 Bear St. Suite 302","Costa Mesa","CA","92626","USA","69","(949) 308-7100","Store","33.6921004","-117.8934274","Mo-Su 10:00-20:00"
"cb2.com","https://www.cb2.com/stores/cherry-creek-north/str64","Cherry Creek North","210 St. Paul Street","Denver","CO","80206","USA","64","(303) 957-1825","Store","39.7197419","-104.9528471","Mo-Sa 10:00-20:00, Su 11:00-18:00"
"cb2.com","https://www.cb2.com/stores/south-beach/str56","South Beach","1661 Jefferson Avenue Lincoln Road Mall","Miami Beach","FL","33139","USA","56","(305) 672-5155","Store","25.790513","-80.137667","Mo-Sa 11:00-20:00, Su 11:00-19:00"
"cb2.com","https://www.cb2.com/stores/cb2-outlet-at-naperville---opening-soon/str118","CB2 Outlet at Naperville - Opening Soon","1860 W. Jefferson Ave.","Naperville","IL","60540","USA","118","() -","Store","41.76806","-88.19961","<MISSING>"
"cb2.com","https://www.cb2.com/stores/lincoln-park/str123","Lincoln Park","800 W. North Ave","Chicago","IL","60642","USA","123","(312) 787-8329","Store","41.910932","-87.648453","Mo-Sa 10:00-20:00, Su 11:00-18:00"
"cb2.com","https://www.cb2.com/stores/fenway/str67","Fenway","1401 Boylston Street","Boston","MA","02215","USA","67","(617) 203-7775","Store","42.3437452","-71.1018231","Mo-Sa 10:00-19:00, Su 11:00-18:00"
"cb2.com","https://www.cb2.com/stores/uptown/str66","Uptown","3045 Hennepin Ave","Minneapolis","MN","55408","USA","66","(612) 821-9303","Store","44.947093","-93.29789","Mo-Sa 10:00-19:00, Su 11:00-18:00"
"cb2.com","https://www.cb2.com/stores/paramus/str70","Paramus","776 NJ-17 Suite 2A","Paramus","NJ","07652","USA","70","(201) 472-5799","Store","40.973207","-74.079632","Mo-Fr 10:00-19:00, Sa 10:00-20:00"
"cb2.com","https://www.cb2.com/stores/soho/str51","Soho","451 Broadway","New York","NY","10013","USA","51","(212) 219-1454","Store","40.72048","-74.000957","Mo-Sa 10:00-20:00, Su 11:00-19:00"
"cb2.com","https://www.cb2.com/stores/eastside/str65","Eastside","979 3rd Ave (D&amp;D Building, 58th and 3rd)","New York","NY","10022","USA","65","(212) 355-7974","Store","40.761136","-73.966737","Mo-Sa 10:00-20:00, Su 11:00-19:00"
"cb2.com","https://www.cb2.com/stores/rittenhouse/str54","Rittenhouse","1422 Walnut Street","Philadelphia","PA","19102","USA","54","(267) 385-8198","Store","39.949254","-75.165772","Mo-Sa 10:00-19:00, Su 11:00-18:00"
"cb2.com","https://www.cb2.com/stores/austin,-domain-northside/str68","Austin, Domain Northside","3121 Palm Way Suite 110","Austin","TX","78758","USA","68","(512) 977-1900","Store","30.402273","-97.721323","Mo-Sa 10:00-20:00, Su 23:00-19:00"
"cb2.com","https://www.cb2.com/stores/knox/str62","Knox","4510 McKinney Ave","Dallas","TX","75205","USA","62","(214) 306-0789","Store","32.82125","-96.78782","Mo-Sa 10:00-20:00, Su 11:00-18:00"
"cb2.com","https://www.cb2.com/stores/university-village/str58","University Village","2660 NE 49th Street","Seattle","WA","98105","USA","58","(206) 462-4400","Store","47.664569","-122.298928","Mo-Sa 10:00-20:00, Su 11:00-19:00"
"cb2.com","https://www.cb2.com/stores/georgetown/str59","Georgetown","3307 M St NW","Washington","DC","20007","USA","59","(202) 333-6204","Store","38.905238","-77.066718","Mo-Sa 11:00-19:00, Su 11:00-18:00"
"cb2.com","https://www.cb2.com/stores/toronto/str330","Toronto","651 Queen St W","Toronto","ON","M5V 2B7","CAN","330","(416) 366-2828","Store","43.647","-79.4037","Mo-Th 10:00-20:00, Sa 10:00-20:00"
"cb2.com","https://www.cb2.com/stores/robson-street/str331","Robson Street","1277 Robson St","Vancouver","BC","V6E 1C2","CAN","331","(604) 669-9797","Store","49.28676","-123.12793","Mo-Sa 10:00-20:00, Su 11:00-19:00"
